filename,signal_type,modulation,sampling_frequency_hz,symbol_rate_hz,nominal_carrier_frequency_hz,frequency_offset_hz,phase_offset_degrees,amplitude_scale,signal_to_noise_ratio_db,samples,samples_per_symbol,num_symbols,bits_per_symbol,num_bits,iq_file_convention,wav_file_convention,baseband,seed,clean_reference,roll_off,filter_span_symbols,timing_offset_samples,frequency_placement_hz,num_components,component_modulations,components,bits,split,fec_enabled,fec_type,fec_scheme,coding_rate
signal_00001_bpsk,SINGLE,BPSK,1200000,150000.0,0.0,0.0,0.0,1.0,60.0,9600,8.0,1200.0,1.0,1200.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230001,True,0.0,4.0,0.0,0.0,,,,110111010100110111101001110100000110000000000110011010111110010101100111010011111100011011011110101101001010110110001101001001001100100110101001110010011111101110111000100001100110110010111100010011100010011111001001000000011111001000110101001111101000000110000000111111010001111001111010001010000010110011001110100001101110110100100001110110011101011111100111111111100101000100011010011000010110011011101100111110011110111111110100010000111011111110101001011111110011100010000010100111100100101011001000101100101010001101110011100011001110111111101010100011000001010110011001110000001110100110111011110110100010000000000001110101100100010000100101111001010100111011011110111101100101011011011100001011100010001011011010001100111100011111010110001000100111001011011011111001101111010110110010001011111110101010110110101010111111100011010011010010011101101111101000101100110100111110110000001110100101101011101010011110000001100100000111100101000000011111001011010001100011110101010010001000001001111001011010101010110001111100011010100110001011000000110100000100011100001100110100101101111011001111011110101001000010010000110011001111011010010101100011100010010010110010101000111001101000000000010111,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00002_bpsk,SINGLE,BPSK,1000000,125000.0,0.0,22495.308117156703,54.80771258175022,1.0301099729056904,7.864695257299045,8000,8.0,1000.0,1.0,1000.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230002,False,0.1647001291605953,4.0,0.12684482032610161,0.0,,,,0000110111100000000111111100010010010111000001110101011110001000010100010100100000101010101010111100111110001101001110101101010100111100111111001100101110101100110001000011000101000011101000011000111101011010000100111010110101010011001001010000110000100110111010110111000001010010011100011010001111011000111110111101001100111111001100011010100101011000001111000111001111001110110010101000110111111001101100000110011010111101110010100001110011101101100110011011011000001101010101101101111101101100011111110010101101001001010010011011001100100100110110010001010001101011110011110110101000101101111000101000100001000001000100101001000111100011010111101110110001100101001011110011101011001011001000110010101101110011001001111010001010110101100111001110100110110110110100001100101101000110001100001000011000100011011101110111000001010010100110001111111111000110111010101010101100010010000100000111111000011001100010111101111000000010010101001101011110110101011001010000010111101010001110100000010110011100,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00003_bpsk,SINGLE,BPSK,1200000,75000.0,0.0,36517.12389629499,326.68459348620235,1.165432519875758,23.834949806171714,9600,16.0,600.0,1.0,600.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230003,False,0.23107196426940235,8.0,-0.439772771474164,0.0,,,,000011010000101000111011000000001101110101001101110111010010010111110110011000011000111101011010000111010000111111000001101111101000010101000110110001110010001011110011100110111110110010101000111001011100000100111100011000110100010011011111100101010111101000011111100110111101010110110011001001000011000001001000011101100111011010111000110110011100101001100100011110111010110011110000111100111000011010001000000000111101001101111110011000100110100011100110011001111110101000101001001001110001011111010011111011110111100000111110001110011101100010100111111001111111001101100010110100111100010110011100,test,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00004_bpsk,SINGLE,BPSK,1000000,100000.0,0.0,6431.418780412227,323.55489260717667,0.5034314409310627,26.326143860398183,8000,10.0,800.0,1.0,800.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230004,False,0.4100680865439025,6.0,-0.14418496937512582,0.0,,,,11101010111110011011110110001000110111100100111011011110001010000110001111011011011010100110110001011011011000000000011001100101100101111011110001000011110001001001011100111110101010110101110111101100001010011010100000011100000101001001001000010111000100110010000111111101100100010100101101011100001110101011111001010101001110111010101110010000001010000111110100100000110100010111100000011010011100010000101100000111010110100110101100000001001111110010111110111011100010111100000000011110000111111110111010011010011001010100100110110011001001111010111110111100110111000111000110111110100010111101000010011010010011110100101001110000110111100011010111011001011111110011101100010000101111100000100111010001011010001001000010110111000101101101011001001010100001111010100111100011000111001100010011101100,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00005_bpsk,SINGLE,BPSK,1000000,200000.0,0.0,38179.587723040226,121.49955694483174,0.7685216238852864,27.81349960490654,8000,5.0,1600.0,1.0,1600.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230005,False,0.275726757345494,4.0,0.18973293410885644,0.0,,,,1110010010111111100100110001111110001000000100111011000000111001001011000100110010111110001111100110101110011110011000000001011011010110011111010011001111001001101010010001011111000000111110010000010111101001011110111100100100110101001100110110110010010110010000000011000000110000000001111000010010001110011101010110010111100001011011111111001100100000111101100111001001000100100000111001011000110101010010111111011110101010010001011111001110101100101111110011010101011000110110000001000100101010101110000011111000001110010101010011010100111110011001100100101010111101001000001110100010000100110000010101011111101101011111011101100111100011111101011001100011001000010010001101001101110000001001111110001111010010100111000011100100100010111011101111111110010100010001100111111110100100011110000011001100000100011011100000110011001100000111001000101111110111101001110111011011011110101101110011110000110010100111011110111101011100101010110100111011111010010110011010100011000010001000011001101111000110010011001101101100101011110110000110011100011101010100001000111011100100100110000100100111100001100010110100001000010010111001110011111001111011000101001001110001010001000001111110110010101000000011000100001111110000010110000010111101101011000100101100110100001010001110001001111111111010000010111110000010101010100101101111101100010000100010011011111000100000010011010101001000010111000100110010111101100101101100111111011100110101000110010101011010010011111010000001011001110011100100010110001000010000100101111010001010111000101000101111101001100000101100000100110010001010111111000111000001011100,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00006_bpsk,SINGLE,BPSK,1000000,50000.0,0.0,-24531.574622258267,102.4693145183781,1.3299642635613242,18.72073315885609,8000,20.0,400.0,1.0,400.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230006,False,0.37118904369311434,4.0,0.004446928420776486,0.0,,,,0011100100100010000010100111100100010001011110111011110001001110110011010000100110011101001111000101010011001010000011000101001101110100000001100010010000010111100111001100111001100010011010001101001001001111110101011111111110101101101110011101111111000100011111100110110000011001101011000000010000101111011010000110101011111101101001010101010000111110001101001110101101010111101100100000101101001011,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00007_bpsk,SINGLE,BPSK,1000000,125000.0,0.0,15470.227723746524,111.03036727188251,1.1179379971712176,14.52081930938283,8000,8.0,1000.0,1.0,1000.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230007,False,0.2524417740026995,8.0,0.049423130197081444,0.0,,,,0000110100111101010100010101011011010001001010011111100111000101000100110000100010001011010100101010001001111011001000111100111100011111101111000011010100100011001110110001111000101011001011001011011011111001101111101111111010101000110000011000011110011101110001010101111101100110000110001100110001010011011110011110100001110011101101101011010100111001110101100011000110111010010000000011110100001101101100101000101011011011011101000111000011111010100101000110110001111111000111110101101100010110001100100010101111110010010100111000001101111111100011101001000100111101100011111000100111110001000011111100110001011110011111100011000000011001100110000010111110111011100001101111000010010110011110101011100100000001111100101101110010111100010011010110101100000001110101011110111111001101101111000010101111010110001011110100110000100001100010000000000010100101001111111000011110000000101000011111100110000111111010110010110010001111000001011000000101100111001110100101010001001000000011100011000000010111,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00008_bpsk,SINGLE,BPSK,1200000,150000.0,0.0,-15747.182087947076,303.65891703116586,0.7730448386315386,11.30345944578209,9600,8.0,1200.0,1.0,1200.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230008,False,0.39715219290169795,8.0,-0.2902932935114261,0.0,,,,001110011100100000010111100111001111010011010001000000111111010010011101100001000000111111100101000111001001010100000001110010110001011100000011010000100101110100100010101011001101100110110001101111010001100100101110001100011100111100000001100110010110100000111000101110001111000001010101000100101110100110101011101110100001111101110001000110000001111110001011010111111001001000010111110011010001011101100110011011010101111000011011110000101000010001001101110011011001100010110000000000001101000001000111111010111111000111110110001011101001100100100100101100010000011011010000110001101010010110110000100011000100101011101111010111000100111100010110011100001101001111100010101011001101100101011011011100000110101110000000010010000100001010001110110000000000111001111100101001110100000110110100110101010010111100110100100000001101010010000010100111010011001011110110011000011000001010111010111010111001011110101111011011000111110010111010110000011001100101100101110101011001100100010011001111000111110101010101010000111101100111111110100100101010110011101101011100000011010000010001000100001101100010001101000011011011110000101011111000100011110111001101010010001100001100100111011100010101100110011100,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00009_bpsk,SINGLE,BPSK,1000000,100000.0,0.0,30835.656542278026,61.373954819883025,0.6388209720295427,18.945819601322132,8000,10.0,800.0,1.0,800.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230009,False,0.24346234431635982,6.0,-0.379754960013664,0.0,,,,00000011101010001010100110101111010001011101101000111110000111101110011000000001010101001010111100011001001111010010101010110101000011011111110101000010101001001111100101111101101011110011000001001000101001010100101011111111000010000110111100110000100110001110111110010010110010101011101001111010101101000011000101001101001101001010011100110100110011111100000101100000100001001011011101101110011110101111101100010011110010001010000110110101001101000000111100111000011001101111111100111100100110100100000111100110100100111110101101101101111010000000100010110010010001000110100101010110010000111010001011110100000111000010001111110101010001011011111100011111100010111011101111000100001111110000010110110110001110101101011001000100001001011110011011010010011001100100101010000111010000000110001010011100,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
signal_00010_bpsk,SINGLE,BPSK,1200000,150000.0,0.0,37782.206158135596,58.425538955567475,0.9109741843425019,5.041159025597178,9600,8.0,1200.0,1.0,1200.0,"interleaved little-endian float32 I,Q","two-channel float32 WAV: channel 1=I, channel 2=Q",True,202609230010,False,0.42913163412978583,8.0,0.3605674621211484,0.0,,,,111001110010111000100001010001011100010000100001111111100011100111101100011001011111111110100011001011110101000101110010011111101110000001101001000101110010100101000010110111111111000010000101010101011110100001001001111011111111010010011101011000000101011101010101001001100010100000010110010001111011100101010000001001011010100100101110111000011000010111010100011110000000101000101000000110111010100111011010000001001001011100000111101100000111101111101110001100100110100111100000011010011100101001010000010111011101101101111010110100101011100010101100101100011001101000011101001101100011000001011000000110000011011000100000111010110010110001101011101101001000100100011011110000100101101010100110111100011001111011101111000100111011000011100100010110110010001000101101101000001010111010001101100000101011011111010110000110111011101000101000001011001111100100000110101001010101101010101000101101000001100000001100100100001100111110111001001001010101110111000110110011011010000110010010000010101010100101100010011010001101110000000111011000111001010010010101011101110001100001110111011111011011000111000101010111000001000010110000100100100110111110000110100010001110010011110000101100010100010011111011,train,True,CONVOLUTIONAL,CONV_K7_R12,1/2
